stop_id,stop_name
400001,4 AV/E 10 ST
400002,4 AV/E 12 ST
400003,4 AV/E 13 ST
400007,PARK AV S/E 21 ST
400026,MADISON AV/E 63 ST
400027,MADISON AV/E 65 ST
400028,MADISON AV/E 67 ST
400029,MADISON AV/E 69 ST
400030,MADISON AV/E 72 ST
400031,MADISON AV/E 74 ST
400032,MADISON AV/E 77 ST
400033,MADISON AV/E 81 ST
400034,MADISON AV/E 83 ST
400036,MADISON AV/E 86 ST
400037,MADISON AV/E 89 ST
400038,MADISON AV/E 91 ST
400039,MADISON AV/E 93 ST
400041,MADISON AV/E 98 ST
400042,MADISON AV/E 101 ST
400043,MADISON AV/E 102 ST
400044,MADISON AV/E 104 ST
400045,MADISON AV/E 106 ST
400046,MADISON AV/E 107 ST
400047,MADISON AV/E 109 ST
400048,MADISON AV/E 112 ST
400050,MADISON AV/E 116 ST
400051,MADISON AV/E 118 ST
400053,MADISON AV/E 123 ST
400054,MADISON AV/E 125 ST
400055,MADISON AV/E 127 ST
400056,MADISON AV/E 129 ST
400057,MADISON AV/E 132 ST
400059,5 AV/E 135 ST
400060,5 AV/E 138 ST
400061,W 139 ST/5 AV
400062,MALCOLM X BL/W 139 ST
400065,MALCOLM X BL/W 145 ST
400066,W 147 ST/MALCOLM X BL
400067,W 147 ST/ADAM C POWELL BL
400070,TRINITY PL/RECTOR ST
400071,CHURCH ST/LIBERTY ST
400081,CLEVELAND  PL/SPRING ST
400083,LAFAYETTE ST/E HOUSTON ST
400085,LAFAYETTE ST/E 4 ST
400086,LAFAYETTE ST/ASTOR PL
400087,W 146 ST/MALCOLM X BL
400088,MALCOLM X BL/W 145 ST
400089,MALCOLM X BL/W 142 ST
400091,W 139 ST/MALCOLM X BL
400092,5 AV/W 138 ST
400093,5 AV/W 137 ST
400094,5 AV/W 135 ST
400095,5 AV/W 132 ST
400096,5 AV/W 130 ST
400097,5 AV/W 128 ST
400098,5 AV/W 125 ST
400099,MT MORRIS PK W/W 124 ST
400100,MT MORRIS PK W/W 121 ST
400101,W 120 ST/5 AV
400102,5 AV/W 118 ST
400103,5 AV/W 116 ST
400105,5 AV/W 112 ST
400107,5 AV/EAST 109 ST
400108,5 AV/E 108 ST
400109,5 AV/E 106 ST
400110,5 AV/E 104 ST
400111,5 AV/E 102 ST
400115,5 AV/E 94 ST
400116,5 AV/E 92 ST
400117,5 AV/E 90 ST
400118,5 AV/E 87 ST
400119,5 AV/E 84 ST
400122,5 AV/E 77 ST
400123,5 AV/E 75 ST
400124,5 AV/E 72 ST
400125,5 AV/E 69 ST
400126,5 AV/W 66 ST
400127,5 AV/E 63 ST
400128,5 AV/E 61 ST
400153,BROADWAY/WAVERLY PL
400154,BROADWAY/W 3 ST
400155,BROADWAY/BLEECKER ST
400157,BROADWAY/SPRING ST
400159,BROADWAY/GRAND ST
400166,BROADWAY/PARK PL
400168,BROADWAY/CORTLANDT ST
400170,BROADWAY/RECTOR ST
400176,E 9 ST/BROADWAY
400224,CENTRAL PK N/MALCOLM X BL
400225,CENTRAL PK N/ADAM C POWELL BL
400226,ADAM C POWELL BL/W 113 ST
400227,ADAM C POWELL BL/W 137 ST
400228,ADAM C POWELL BL/W 116 ST
400230,ADAM C POWELL BL/W 121 ST
400231,ADAM C POWELL BL/W 123 ST
400233,ADAM C POWELL BL/W 127 ST
400234,ADAM C POWELL BL/W 129 ST
400236,ADAM C POWELL BL/W 133 ST
400237,ADAM C POWELL BL/W 135 ST
400238,ADAM C POWELL BL/W 139 ST
400239,ADAM C POWELL BL/W 141 ST
400240,ADAM C POWELL BL/W 143 ST
400241,ADAM C POWELL BL/W 145 ST
400242,ADAM C POWELL BL/W 147 ST
400248,EDGECOMBE AV/W 155 ST
400249,EDGECOMBE AV/W 158 ST
400250,EDGECOMBE AV/W 160 ST
400251,EDGECOMBE AV/W 162 ST
400252,EDGECOMBE AV/W 164 ST
400258,BROADWAY/W 168 ST
400259,W 166 ST/ST NICHOLAS AV
400263,EDGECOMBE AV/W 164 ST
400264,EDGECOMBE AV/W 162 ST
400265,EDGECOMBE AV/W 160 ST
400266,EDGECOMBE AV/W 158 ST
400267,EDGECOMBE AV/W 155 ST
400268,W 155 ST/EDGECOMBE AV
400271,ADAM C POWELL BL/W 154 ST
400272,ADAM C POWELL BL/W 151 ST
400273,ADAM C POWELL BL/W 149 ST
400274,ADAM C POWELL BL/W 148 ST
400275,ADAM C POWELL BL/W 145 ST
