line,endpoint
a,https://api-endpoint.mta.info/Dataservice/mtagtfsfeeds/nyct%2Fgtfs-ace
c,https://api-endpoint.mta.info/Dataservice/mtagtfsfeeds/nyct%2Fgtfs-ace
e,https://api-endpoint.mta.info/Dataservice/mtagtfsfeeds/nyct%2Fgtfs-ace
b,https://api-endpoint.mta.info/Dataservice/mtagtfsfeeds/nyct%2Fgtfs-bdfm
d,https://api-endpoint.mta.info/Dataservice/mtagtfsfeeds/nyct%2Fgtfs-bdfm
f,https://api-endpoint.mta.info/Dataservice/mtagtfsfeeds/nyct%2Fgtfs-bdfm
m,https://api-endpoint.mta.info/Dataservice/mtagtfsfeeds/nyct%2Fgtfs-bdfm
g,https://api-endpoint.mta.info/Dataservice/mtagtfsfeeds/nyct%2Fgtfs-g
j,https://api-endpoint.mta.info/Dataservice/mtagtfsfeeds/nyct%2Fgtfs-jz
z,https://api-endpoint.mta.info/Dataservice/mtagtfsfeeds/nyct%2Fgtfs-jz
n,https://api-endpoint.mta.info/Dataservice/mtagtfsfeeds/nyct%2Fgtfs-nqrw
q,https://api-endpoint.mta.info/Dataservice/mtagtfsfeeds/nyct%2Fgtfs-nqrw
r,https://api-endpoint.mta.info/Dataservice/mtagtfsfeeds/nyct%2Fgtfs-nqrw
w,https://api-endpoint.mta.info/Dataservice/mtagtfsfeeds/nyct%2Fgtfs-nqrw
l,https://api-endpoint.mta.info/Dataservice/mtagtfsfeeds/nyct%2Fgtfs-l
1,https://api-endpoint.mta.info/Dataservice/mtagtfsfeeds/nyct%2Fgtfs
2,https://api-endpoint.mta.info/Dataservice/mtagtfsfeeds/nyct%2Fgtfs
3,https://api-endpoint.mta.info/Dataservice/mtagtfsfeeds/nyct%2Fgtfs
4,https://api-endpoint.mta.info/Dataservice/mtagtfsfeeds/nyct%2Fgtfs
5,https://api-endpoint.mta.info/Dataservice/mtagtfsfeeds/nyct%2Fgtfs
6,https://api-endpoint.mta.info/Dataservice/mtagtfsfeeds/nyct%2Fgtfs
7,https://api-endpoint.mta.info/Dataservice/mtagtfsfeeds/nyct%2Fgtfs
sir,https://api-endpoint.mta.info/Dataservice/mtagtfsfeeds/nyct%2Fgtfs-si
