stop_id,stop_name,direction
101,Van Cortlandt Park-242 St,STATION
101N,Van Cortlandt Park-242 St,UPT
101S,Van Cortlandt Park-242 St,DWT
103,238 St,STATION
103N,238 St,UPT
103S,238 St,DWT
104,231 St,STATION
104N,231 St,UPT
104S,231 St,DWT
106,Marble Hill-225 St,STATION
106N,Marble Hill-225 St,UPT
106S,Marble Hill-225 St,DWT
107,215 St,STATION
107N,215 St,UPT
107S,215 St,DWT
108,207 St,STATION
108N,207 St,UPT
108S,207 St,DWT
109,Dyckman St,STATION
109N,Dyckman St,UPT
109S,Dyckman St,DWT
110,191 St,STATION
110N,191 St,UPT
110S,191 St,DWT
111,181 St,STATION
111N,181 St,UPT
111S,181 St,DWT
112,168 St-Washington Hts,STATION
112N,168 St-Washington Hts,UPT
112S,168 St-Washington Hts,DWT
113,157 St,STATION
113N,157 St,UPT
113S,157 St,DWT
114,145 St,STATION
114N,145 St,UPT
114S,145 St,DWT
115,137 St-City College,STATION
115N,137 St-City College,UPT
115S,137 St-City College,DWT
116,125 St,STATION
116N,125 St,UPT
116S,125 St,DWT
117,116 St-Columbia University,STATION
117N,116 St-Columbia University,UPT
117S,116 St-Columbia University,DWT
118,Cathedral Pkwy (110 St),STATION
118N,Cathedral Pkwy (110 St),UPT
118S,Cathedral Pkwy (110 St),DWT
119,103 St,STATION
119N,103 St,UPT
119S,103 St,DWT
120,96 St,STATION
120N,96 St,UPT
120S,96 St,DWT
121,86 St,STATION
121N,86 St,UPT
121S,86 St,DWT
122,79 St,STATION
122N,79 St,UPT
122S,79 St,DWT
123,72 St,STATION
123N,72 St,UPT
123S,72 St,DWT
124,66 St-Lincoln Center,STATION
124N,66 St-Lincoln Center,UPT
124S,66 St-Lincoln Center,DWT
125,59 St-Columbus Circle,STATION
125N,59 St-Columbus Circle,UPT
125S,59 St-Columbus Circle,DWT
126,50 St,STATION
126N,50 St,UPT
126S,50 St,DWT
127,Times Sq-42 St,STATION
127N,Times Sq-42 St,UPT
127S,Times Sq-42 St,DWT
128,34 St-Penn Station,STATION
128N,34 St-Penn Station,UPT
128S,34 St-Penn Station,DWT
129,28 St,STATION
129N,28 St,UPT
129S,28 St,DWT
130,23 St,STATION
130N,23 St,UPT
130S,23 St,DWT
131,18 St,STATION
131N,18 St,UPT
131S,18 St,DWT
132,14 St,STATION
132N,14 St,UPT
132S,14 St,DWT
133,Christopher St-Sheridan Sq,STATION
133N,Christopher St-Sheridan Sq,UPT
133S,Christopher St-Sheridan Sq,DWT
134,Houston St,STATION
134N,Houston St,UPT
134S,Houston St,DWT
135,Canal St,STATION
135N,Canal St,UPT
135S,Canal St,DWT
136,Franklin St,STATION
136N,Franklin St,UPT
136S,Franklin St,DWT
137,Chambers St,STATION
137N,Chambers St,UPT
137S,Chambers St,DWT
138,WTC Cortlandt,STATION
138N,WTC Cortlandt,UPT
138S,WTC Cortlandt,DWT
139,Rector St,STATION
139N,Rector St,UPT
139S,Rector St,DWT
140,South Ferry Loop,STATION
140N,South Ferry Loop,UPT
140S,South Ferry Loop,DWT
142,South Ferry,STATION
142N,South Ferry,UPT
142S,South Ferry,DWT
201,Wakefield-241 St,STATION
201N,Wakefield-241 St,UPT
201S,Wakefield-241 St,DWT
204,Nereid Av,STATION
204N,Nereid Av,UPT
204S,Nereid Av,DWT
205,233 St,STATION
205N,233 St,UPT
205S,233 St,DWT
206,225 St,STATION
206N,225 St,UPT
206S,225 St,DWT
207,219 St,STATION
207N,219 St,UPT
207S,219 St,DWT
208,Gun Hill Rd,STATION
208N,Gun Hill Rd,UPT
208S,Gun Hill Rd,DWT
209,Burke Av,STATION
209N,Burke Av,UPT
209S,Burke Av,DWT
210,Allerton Av,STATION
210N,Allerton Av,UPT
210S,Allerton Av,DWT
211,Pelham Pkwy,STATION
211N,Pelham Pkwy,UPT
211S,Pelham Pkwy,DWT
212,Bronx Park East,STATION
212N,Bronx Park East,UPT
212S,Bronx Park East,DWT
213,E 180 St,STATION
213N,E 180 St,UPT
213S,E 180 St,DWT
214,West Farms Sq-E Tremont Av,STATION
214N,West Farms Sq-E Tremont Av,UPT
214S,West Farms Sq-E Tremont Av,DWT
215,174 St,STATION
215N,174 St,UPT
215S,174 St,DWT
216,Freeman St,STATION
216N,Freeman St,UPT
216S,Freeman St,DWT
217,Simpson St,STATION
217N,Simpson St,UPT
217S,Simpson St,DWT
218,Intervale Av,STATION
218N,Intervale Av,UPT
218S,Intervale Av,DWT
219,Prospect Av,STATION
219N,Prospect Av,UPT
219S,Prospect Av,DWT
220,Jackson Av,STATION
220N,Jackson Av,UPT
220S,Jackson Av,DWT
221,3 Av-149 St,STATION
221N,3 Av-149 St,UPT
221S,3 Av-149 St,DWT
222,149 St-Grand Concourse,STATION
222N,149 St-Grand Concourse,UPT
222S,149 St-Grand Concourse,DWT
224,135 St,STATION
224N,135 St,UPT
224S,135 St,DWT
225,125 St,STATION
225N,125 St,UPT
225S,125 St,DWT
226,116 St,STATION
226N,116 St,UPT
226S,116 St,DWT
227,Central Park North (110 St),STATION
227N,Central Park North (110 St),UPT
227S,Central Park North (110 St),DWT
228,Park Place,STATION
228N,Park Place,UPT
228S,Park Place,DWT
229,Fulton St,STATION
229N,Fulton St,UPT
229S,Fulton St,DWT
230,Wall St,STATION
230N,Wall St,UPT
230S,Wall St,DWT
231,Clark St,STATION
231N,Clark St,UPT
231S,Clark St,DWT
232,Borough Hall,STATION
232N,Borough Hall,UPT
232S,Borough Hall,DWT
233,Hoyt St,STATION
233N,Hoyt St,UPT
233S,Hoyt St,DWT
234,Nevins St,STATION
234N,Nevins St,UPT
234S,Nevins St,DWT
235,Atlantic Av-Barclays Ctr,STATION
235N,Atlantic Av-Barclays Ctr,UPT
235S,Atlantic Av-Barclays Ctr,DWT
236,Bergen St,STATION
236N,Bergen St,UPT
236S,Bergen St,DWT
237,Grand Army Plaza,STATION
237N,Grand Army Plaza,UPT
237S,Grand Army Plaza,DWT
238,Eastern Pkwy-Brooklyn Museum,STATION
238N,Eastern Pkwy-Brooklyn Museum,UPT
238S,Eastern Pkwy-Brooklyn Museum,DWT
239,Franklin Av-Medgar Evers College,STATION
239N,Franklin Av-Medgar Evers College,UPT
239S,Franklin Av-Medgar Evers College,DWT
241,President St-Medgar Evers College,STATION
241N,President St-Medgar Evers College,UPT
241S,President St-Medgar Evers College,DWT
242,Sterling St,STATION
242N,Sterling St,UPT
242S,Sterling St,DWT
243,Winthrop St,STATION
243N,Winthrop St,UPT
243S,Winthrop St,DWT
244,Church Av,STATION
244N,Church Av,UPT
244S,Church Av,DWT
245,Beverly Rd,STATION
245N,Beverly Rd,UPT
245S,Beverly Rd,DWT
246,Newkirk Av-Little Haiti,STATION
246N,Newkirk Av-Little Haiti,UPT
246S,Newkirk Av-Little Haiti,DWT
247,Flatbush Av-Brooklyn College,STATION
247N,Flatbush Av-Brooklyn College,UPT
247S,Flatbush Av-Brooklyn College,DWT
248,Nostrand Av,STATION
248N,Nostrand Av,UPT
248S,Nostrand Av,DWT
249,Kingston Av,STATION
249N,Kingston Av,UPT
249S,Kingston Av,DWT
250,Crown Hts-Utica Av,STATION
250N,Crown Hts-Utica Av,UPT
250S,Crown Hts-Utica Av,DWT
251,Sutter Av-Rutland Rd,STATION
251N,Sutter Av-Rutland Rd,UPT
251S,Sutter Av-Rutland Rd,DWT
252,Saratoga Av,STATION
252N,Saratoga Av,UPT
252S,Saratoga Av,DWT
253,Rockaway Av,STATION
253N,Rockaway Av,UPT
253S,Rockaway Av,DWT
254,Junius St,STATION
254N,Junius St,UPT
254S,Junius St,DWT
255,Pennsylvania Av,STATION
255N,Pennsylvania Av,UPT
255S,Pennsylvania Av,DWT
256,Van Siclen Av,STATION
256N,Van Siclen Av,UPT
256S,Van Siclen Av,DWT
257,New Lots Av,STATION
257N,New Lots Av,UPT
257S,New Lots Av,DWT
301,Harlem-148 St,STATION
301N,Harlem-148 St,UPT
301S,Harlem-148 St,DWT
302,145 St,STATION
302N,145 St,UPT
302S,145 St,DWT
401,Woodlawn,STATION
401N,Woodlawn,UPT
401S,Woodlawn,DWT
402,Mosholu Pkwy,STATION
402N,Mosholu Pkwy,UPT
402S,Mosholu Pkwy,DWT
405,Bedford Park Blvd-Lehman College,STATION
405N,Bedford Park Blvd-Lehman College,UPT
405S,Bedford Park Blvd-Lehman College,DWT
406,Kingsbridge Rd,STATION
406N,Kingsbridge Rd,UPT
406S,Kingsbridge Rd,DWT
407,Fordham Rd,STATION
407N,Fordham Rd,UPT
407S,Fordham Rd,DWT
408,183 St,STATION
408N,183 St,UPT
408S,183 St,DWT
409,Burnside Av,STATION
409N,Burnside Av,UPT
409S,Burnside Av,DWT
410,176 St,STATION
410N,176 St,UPT
410S,176 St,DWT
411,Mt Eden Av,STATION
411N,Mt Eden Av,UPT
411S,Mt Eden Av,DWT
412,170 St,STATION
412N,170 St,UPT
412S,170 St,DWT
413,167 St,STATION
413N,167 St,UPT
413S,167 St,DWT
414,161 St-Yankee Stadium,STATION
414N,161 St-Yankee Stadium,UPT
414S,161 St-Yankee Stadium,DWT
415,149 St-Grand Concourse,STATION
415N,149 St-Grand Concourse,UPT
415S,149 St-Grand Concourse,DWT
416,138 St-Grand Concourse,STATION
416N,138 St-Grand Concourse,UPT
416S,138 St-Grand Concourse,DWT
418,Fulton St,STATION
418N,Fulton St,UPT
418S,Fulton St,DWT
419,Wall St,STATION
419N,Wall St,UPT
419S,Wall St,DWT
420,Bowling Green,STATION
420N,Bowling Green,UPT
420S,Bowling Green,DWT
423,Borough Hall,STATION
423N,Borough Hall,UPT
423S,Borough Hall,DWT
501,Eastchester-Dyre Av,STATION
501N,Eastchester-Dyre Av,UPT
501S,Eastchester-Dyre Av,DWT
502,Baychester Av,STATION
502N,Baychester Av,UPT
502S,Baychester Av,DWT
503,Gun Hill Rd,STATION
503N,Gun Hill Rd,UPT
503S,Gun Hill Rd,DWT
504,Pelham Pkwy,STATION
504N,Pelham Pkwy,UPT
504S,Pelham Pkwy,DWT
505,Morris Park,STATION
505N,Morris Park,UPT
505S,Morris Park,DWT
601,Pelham Bay Park,STATION
601N,Pelham Bay Park,UPT
601S,Pelham Bay Park,DWT
602,Buhre Av,STATION
